"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Link","Open access resource","PDF","Summary","Key Points","Focus Region","State","Resource Type","Original date of report publishing","Date of Accessing Resource","Issuing body","Name of the Issuing body","Published Date","lastActivity.date"
"Impact of sand mining on alluvial channel flow characteristics","https://www.sciencedirect.com/science/article/abs/pii/S0925857419301727","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fdb8f6713-5487-4b7e-bf88-1a5d2aa4c63a.pdf?generation=1689320850688305&alt=media","Mining pit in a channel bed causes disturbance to the flow characteristics. To interpret the phenomenon of change in flow characteristics in a mining pit, experimental study was performed in a tilting laboratory flume. This research focuses on the impact of mining pit on different turbulent parameters, such as flow velocity, Reynolds shear stress distribution, turbulent kinetic energy fluxes, and higher order moment distribution. ","The analysis of Reynolds shear stress and higher order moment distribution shows higher values of velocity fluctuations in the pit than the upstream section. The response of bursting events, which is identified by the third order moment, shows influence of sweep events near the bed in all four sections. Third order moment analysis also shows a rise in dominance of sweep events along the flow depth in the pit and it’s downstream, compared to the upstream section. The kurtosis distribution shows highly intermittent nature of turbulence close to the channel bed. The longitudinal turbulent kinetic energy fluxes and vertical turbulent kinetic energy fluxes are in downstream and downward directions for both inner and outer layer in the pit region, which shows an increase in bed particle mobility in that region, whereas it is present only in the inner layer at the upstream section. Additionally, improved bed load transport equation by incorporating pit geometry has been proposed for alluvial channel subjected to sand mining.","India ","N/A","Research paper","01-11-2019 18:30:00","14-07-2023 18:30:00","Other","elsevier","14-07-2023","N/A"
"India Sand Mining Dec 2020 to March 2022: Violence & Accidents Killed 418 People in 16 Months","https://sandrp.in/2022/04/24/india-sand-mining-violence-accidents-killed-418-people-in-16-months/","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F41297710-7f00-4102-906d-eced685ffe6e.pdf?generation=1689574388558233&alt=media","Summary reports in a zone wise manner for North, East, West and South zones covering sand mining violence and accidents from December 2020 to March 2022.","North Zone: Sand Mining Violence & Accidents Highlights 
 East & North East Zone: Sand Mining Violence & Accidents Highlights 
 South Zone: Sand Mining Violence & Accidents Highlights 
 West Zone: Sand Mining Violence & Accidents Highlights 
 Sand Laden Trucks Proving a Major Killer 
 Workers Dying in Mine Accidents 
 Dams Flooding Mines without Warning 
 Sand Pits Proving Death Traps for Children 
 Sand Mafias Turning More Powerful, Violent","India ","N/A","Analysis","24-04-2022 18:30:00","17-07-2023 18:30:00","Civil society / NGO","SANDRP","17-07-2023","N/A"
"Shifting Sands: Illegal sand mining is killing both people and the environment","https://en.gaonconnection.com/shifting-sands-illegal-riverbed-mining-threatens-environment-and-human-life-while-the-sand-mafia-makes-a-killing/","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F9dc0c76d-dd60-4211-a4f4-8d4b11c25218.pdf?generation=1689657037237680&alt=media","Illegal sand mining that has come up around uncontrolled construction is taking a toll on environment and human lives. The present regulations and mining guidelines seem inadequate to stem the rot.","Illegal mining  
 environmental impacts on river  
 inadequate laws  
 aletrnatives  
 better decisions ","India ","N/A","Analysis","06-10-2020 18:30:00","18-07-2023 18:30:00","Multi lateral agency (eg : UNEP)","gaonconnection","18-07-2023","N/A"
"Buried in Sand: Understanding Precarity in the Context of the Political and Criminal Economy in India","http://hdl.handle.net/10393/41720","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F745d4257-5115-4c7b-94ec-e1fafd701b04.pdf?generation=1691986811914538&alt=media","As the world population grows and countries become more urbanized, the  demand for sand is more prominent than ever. However, this seemingly  infinite resource is being exhausted beyond its natural rate of renewal;  we are running out of sand. The limited supply of sand has resulted in  illicit sand trading globally, spawning gangs and mafias in a lethal  black market. Through the nexus of politics, business and crime, India  has demonstrated to be the most extreme manifestation of the global sand  crisis. This paper will offer insight into the under-researched area of  precarity surrounding the sand trade in the context of political  criminality in India. By adopting an integrative approach to precarity,  the analysis will review the direct and indirect impacts on livelihoods  and local communities. The findings highlight how the collusive  relations between the sand mafia and state authorities perpetuate a  cycle of precarious labour and social-ecological conditions. To  conclude, I will explore recommendations on how to address the  implications of sand mining as a global community."," ","India ","N/A","Research paper","01-01-2021 18:30:00","01-01-2021 18:30:00","Other","University of Ottawa","14-08-2023","N/A"
"The inter-state criminal life of sand and oil in North India","https://doi.org/10.2307/j.ctvfrxr41.14","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F98e90531-c5a4-46d7-a418-fcd7408af186.pdf?generation=1691989713135938&alt=media","This chapter explores the inter-state criminal political economies of the sand and oil mafias in North India. It puts forward the concept of ‘mafia assemblages’ to nuance understanding of ‘organised crime’ and simultaneously provides insights into contemporary political formations. Mafia assemblages in the studied cases are not hyper-fluid, autonomous and amorphous illegal networks; nor are they discrete, structured, hierarchical and bounded ‘mafia systems’. The criminal economies of sand and oil constantly mutate, transform and break up as they adapt to new business opportunities and political constraints. The chapter explores how the sand and oil mafia assemblages intertwine and how the very same local political bosses protect (and are part of) them. Contrary to economic analysis that emphasises different tax rates as the main engines of cross-border criminal economies, the working of sand and oil mafias suggests that it is instead the search for impunity by political bosses and the nature of caste territorial sovereignties that drive criminal economies in border areas."," ","India ","N/A","Research paper","01-01-2019 18:30:00","01-01-2019 18:30:00","Other","UCL Press","14-08-2023","N/A"
"State of India's Birds 2023","https://drive.google.com/file/d/1ahhYQUMJKAkNtVtmCYEIF3C1ntBKSXDw/view?pli=1","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F5e972f53-458e-4db8-8a67-243be5f0237b.pdf?generation=1693382211053298&alt=media","The State of India’s Birds report is a periodic assessment of the distribution range, trends in abundance, and conservation status for most of the bird species that regularly occur in India. With their ubiquity and ecological importance, birds are excellent indicators of the state of our natural world and are potent cultural symbols of nature. As a comprehensive, national-level assessment, the report points the way towards conservation needs of India’s birds.","- The decline of riverine sandbar-nesting birds is attributed to widespread pressures on rivers from irrigation schemes, transportation, human disturbance, domestic use, and pollution from agricultural and industrial chemicals (see Environmental Pollutants, p76). For many of these species the most critical factor is the variation in water level during the breeding season due to greater control of, and demand for, water for human use. As a result, the birds are subject to a number of associated threats. 
 - Sand mining is a further threat for these nesting colonies, both directly (through disturbance and disruption) as well as through possible long- term effects on the formation of nesting sandbars. Coupled with these threats, extreme weather events (e.g., sand storms, heavy pre-monsoon showers, and tropical cyclones) can destroy breeding colonies en masse, resulting in a failed breeding season. 
 - Four bird species—Small Pratincole, Little Ringed Plover, Great Thick-knee and Little Tern— have shown a distressing decline of 50-80 per cent in their populations, according to the State of India’s Birds (SoIB) report 2023.
- The report also highlights the population decline of grassland birds like the Great Indian Bustard, Bengal, and Lesser Florican.
- Major threats to the coastal habitats like habitat degradation, land use changes, developmental activities, blocking of river mouths, intensification of commercial aquaculture, and non-conventional salt production and illegal killing.
- The Indian Skimmer has been identified as one of the top four species for conservation efforts in the territories of Delhi, Madhya Pradesh, Odisha and Uttar Pradesh. 
 - The Black-bellied Tern has been recognized as a top-priority species for conservation in the Delhi, Odisha, Punjab, and Telangana.  
 - Mid-river sandbars serve as vital nesting grounds for certain bird species, with the Indian Skimmer and Black-bellied Tern being notable examples. Unfortunately, these species are facing a concerning decline in their populations, leading to their Endangered status on the IUCN Red List. Sharing these nesting sites are other avian species including the River Lapwing, River Tern, Little Tern, Great Thick-knee (Near Threatened), and Small Pratincole.
- Once widely distributed across Southeast Asia, the Indian Skimmer and Black-bellied Tern have experienced a significant reduction in their distribution range and decline in the population, and are now largely limited to India, Pakistan, Bangladesh, Nepal, and Myanmar. This decline can be attributed to the widespread degradation of river habitats due to factors like irrigation projects, sand mining, transportation activities, heightened human disturbances, domestic utilization, and pollution from agricultural and industrial sources.","India ","N/A","Analysis","25-08-2023 18:30:00","30-08-2023 18:30:00","Civil society / NGO","Multiple Organisations","30-08-2023","N/A"
"Sand Mining as a Contemporary threat to Sandbar Nesting Birds: a Review","https://doi.org/10.1134/S1995425523020038","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Farjun_etal_2023_sand_mining_contemporary_threat_sandbar_nesting_birds_1ad1d08b-23c5-4ec3-a655-1b1926465764.pdf?generation=1714131262625281&alt=media","Urbanization requires enormous amounts of material inputs especially  sand to fulfilling the demands of the increasing human population  through sand mining. It has negative environmental impacts in terms of  physical, chemical, and biological aspects like river-associated  biodiversity, especially on river dolphins, fishes, crocodiles, turtles,  otters, and birds. The temporary sand islands of Rivers with their  abundant food supplies for birds are ideal nesting grounds for a variety  of avian species, like Indian Skimmer, Black-bellied Tern, River Tern,  Great Thick-knee, and River Lapwing. Extensive sand mining is degrading  the breeding grounds of these sandbar nesting birds which can eventually  lead to their population decline. Inadvertent erosion of river beds and  banks also may occur as a result of extreme extraction practices. The  use of heavy machinery is also affecting the collective environment.  Conservation priority areas can be identified using select birds as  environmental indicators and model organisms for biodiversity  conservation. Long-term avifaunal survey data could also be useful for  effective monitoring of the changes in the riverine habitat quality and  biodiversity. Increasing natural riparian vegetation and conservation  awareness among local people could make a positive impact on conserving  these habitats along with some of the threatened avian species.","Publication focusing sand mining impact on threatened riverine sandbar nesting birds in India.","India ","N/A","Research paper","20-04-2023 18:30:00","01-08-2023 18:30:00","Other","Contemporary Problems of Ecology","30-09-2023","N/A"
"Impacts of Sand Mining on Ecosystem Structure, Process and Biodiversity in Rivers","https://wwfint.awsassets.panda.org/downloads/sandmining_execsum__final_.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F9c43ad95-9380-427a-892c-b52ad75cdf24.pdf?generation=1696089506175969&alt=media","WWF is a solution-oriented advocate of clean flowing rivers that believes that by better understanding and communicating the impacts of sand mining – aggregate extraction encompasses sand, gravel, pebbles or cobbles, but is collectively referred to as sand mining – on rivers, the organisation can influence key decision-makers to ensure that extraction is done sustainably. To do this, a strong evidence base for past, current and potential impacts of sand mining on rivers and their ecosystems is required.","This report aims to provide an authoritative review and summary of the available scientific literature associated with sand mining impacts, a context for this information with respect to global sources, demands and trends, and an understanding of what the estimated present status and perceived associated impacts of sand mining are on a global scale.  
 [Koehnken, L., and Rintoul, M. (2018) Impacts of Sand Mining on Ecosystem Structure, 
 Process and Biodiversity in Rivers. WWF.]","Global ","N/A","Analysis","01-01-2018 18:30:00","01-12-2020 18:30:00","Civil society / NGO","WWF","30-09-2023","N/A"
"Impacts of riverine sand mining on freshwater ecosystems: A review of the scientific evidence and guidance for future research","https://doi.org/10.1002/rra.3586","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fc05c9fd6-925a-4d85-b508-fee05617e028.pdf?generation=1696090120374419&alt=media","Sand mining (used here as a generic term that includes mining of any riverine aggregates regardless of particle size) is a global activity that is receiving increasing media attention due to perceived negative environmental and social impacts. As calls grow for stronger regulation of mining, there is a need to understand the scientific evidence to support effective management. This paper summarizes the results of a structured literature review addressing the question, “What evidence is there of impacts of sand mining on ecosystem structure, process, and biodiversity in rivers, floodplains, and estuaries?” The review found that most investigations have focused on temperate rivers where sand mining occurred historically but has now ceased. Channel incision was the most common physical impact identified; other physical responses, including habitat disturbance, alteration of riparian zones, and changes to downstream sediment transport, were highly variable and dependant on river characteristics. Ecosystem attributes affected included macroinvertebrate drift, fish movements, species abundance and community structures, and food web dynamics. Studies often inferred impacts on populations, but supporting data were scarce. Limited evidence suggests that rivers can sustain extraction if volumes are within the natural sediment load variability. Significantly, the countries and rivers for which there is science-based evidence related to sand mining are not those where extensive sand mining is currently reported. The lack of scientific and systematic studies of sand mining in these countries prevents accurate quantification of mined volumes or the type, extent, and magnitude of any impacts. Additional research into how sand mining is affecting ecosystem services, impacting biodiversity and particularly threatened species, and how mining impacts interact with other activities or threats is urgently required.","This paper summarizes the results of a literature review into the impacts of riverine sand mining on freshwater ecosystems. The aim of the review was to provide an understanding of the range of observed impacts related to sand mining activities and to guide future research directions.  
 [Koehnken, L,  Rintoul, MS,  Goichot, M,  Tickner, D,  Loftus, A-C,  Acreman, MC.  Impacts of riverine sand mining on freshwater ecosystems: A review of the scientific evidence and guidance for future research. River Res Applic.  2020; 36: 362–370. https://doi.org/10.1002/rra.3586]","Global ","N/A","Research paper","05-02-2020 18:30:00","07-02-2020 18:30:00","Other","River Research and Applications","30-09-2023","N/A"
"Sand mafias in India: Disorganized crime in a growing economy","https://globalinitiative.net/analysis/sand-mafias-in-india/","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F8a417c24-5365-4865-bedb-a797990d40de.pdf?generation=1696091063039332&alt=media","India has seen a tripling of demand for sand from 2000 to 2017,  creating a market worth 150 billion rupees, or just over two billion US  dollars. The country has the third-largest construction industry in the  world, following those of China and the United States, accounting for 9  per cent of its two-trillion-dollar economy and employing more than 35  million people. Given the dizzying rate of India’s construction boom,  guesstimates indicate a massive shortage of licitly mined sand.","This paper looks at patterns of sand mining in India and the impact  that it may have on governance, security, the environment and the growth  of entrenched criminal networks. The conclusions suggest that civil  administration is retreating before a mafia-like nexus of political,  business and bureaucratic interests, which connive to flout judicial  orders. The secondary and tertiary effects of such activity bode ill for  societal stability, even though a certain amount of (tenuous and often  exploitative) employment is generated by illicit sand mining. The paper  also highlights a policy conundrum: can India, which, paradoxically,  combines widespread economic backwardness with sky-high consumer  aspirations, find a model of environmentally sustainable development? Or  is it doomed to exacerbate the harshness of already abysmal living  standards experienced by its rural population (who make up two-thirds of  its population) to satisfy the needs of its urban middle class?  
 [Mahadevan, P. (2019). SAND MAFIAS IN INDIA: Disorganized crime in a growing economy. Global Initiative Against Transnational Organized Crime.]","India ","N/A","Analysis","01-07-2019 18:30:00","14-08-2023 18:30:00","Civil society / NGO","Global Initiative Against Transnational Organized Crime","30-09-2023","N/A"
"New Sand Mining Policy - 2014 | Telangana","https://mines.telangana.gov.in/MinesAndGeology/Documents/GO's/SAND%20GO%2038.PDF","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F33f80fe3-1e7d-4633-80e0-fbee2d05d552.pdf?generation=1696967492312645&alt=media","The Government after careful examination and consideration of the matter in detail, hereby introduces the New Sand Mining Policy-2014 for the State of Telangana. ","(i) Sand is available in the State from (3) sources, viz., 1) Rivers and streams, 
 2) De-silting of Reservoirs and 3) De-casting of Private Patta Lands 
 (ii) The Sand available from Rivers and streams is categorized into I to V order 
 depending on size and capacity. In I-order streams, the source is small 
 village stream or vagu while V-order would be large rivers like Krishna and 
 the Godavari. 
 (iii) Sand in I and II order streams will be left to the Local Body and Villagers for 
 domestic needs, Government sponsored weaker section Housing schemes 
 for which no seigniorage charges are collected. Extraction of sand from said 
 order streams for construction of Local Body buildings like schools, 
 community halls etc., will be allowed subject to payment of Seigniorage Fee 
 by the consuming agency. The excavation and transportation of sand shall 
 be manual and no mechanical means be allowed and no sand be transported 
 outside the local jurisdiction. 
 (iv) Sand in III, IV and V order streams will be allowed for exploitation subject 
 to WALTA Rules and Regulations. 
 (v) A preliminary identification of sand available in III, IV and V order streams 
 will be done by the Mines and Geology Department in consultation with the 
 Irrigation, Ground Water and Revenue Departments. These reaches will 
 include left banks of Tungabhadra River, Krishna River including project 
 backwaters, the Godavari river and its tributaries and all project de-siltation 
 areas.  
 (vi) Based on preliminary identification, the District Level Committee under the 
 Chairmanship of Joint Collector will meet and cause inspection of all 
 stretches and give a feasible area report based on WALTA criterion. The 
 feasible areas will be allotted to the Telangana State Mineral Development 
 Corporation Limited (TSMDC) for excavation, regulation and supply of sand. 
 The TSMDC will then obtain all statutory clearances like EC, Mining Plan, 
 Environment Management Plan, CFE and CFO. Once PCB clearance is 
 obtained extraction of sand can start. 
 (vii) Sand available by way of de-silting of reservoirs will also be allowed to be 
 exploitation. The same shall be identified in consultation with the Irrigation 
 Department. 
 (viii) The feasible sand reaches identified in the III, IV and V order streams as 
 well as sand available under de-silting of reservoirs will be handed over to 
 the TSMDC for extraction. 
 (ix) The TSMDC will appoint raising contractors for the sand reaches identified 
 under a strict competitive bidding process. The sand so excavated will be 
 moved to stockyards managed by the TSMDC. The stockyards can be near 
 the sand reach. Additional stockyards near urban habitations, especially the 
 Municipal Corporations can also be created. 
 (x) Sale of sand to all consumers, small, medium or large, will be from these 
 stockyards. Sale of sand from these stockyards will be controlled by 
 electronic surveillance (CCTVs) and electronic documentation linked to a 
 central documentation monitoring facility. The way-bills for transportation of 
 sand will have the security seal of the TSMDC and will be stamped with date 
 and time. The vehicles will be tracked by way of GPS. Any sand lorry found 
 without TSMDC way-bill will be illegal and the vehicle should be seized. 
 (xi) The intention of the Government is to ensure adequate quantity of the right 
 quality of sand is available at a reasonable price to the people of the State. 
 (xii) Sand mining in tribal areas will be governed by the provisions of the 
 Panchayats Extension to Scheduled Areas (PESA) Act of 1996, PESA Rules of 
 2011 and the WALTA Act Rules of 2004. 
 (xiii) The present system for sand permits in Patta lands shall continue, but with 
 more rigorous vigilance and inspections. The demarcation of Patta lands has 
 to be done very accurately and further ensured that no mining takes place 
 outside the Patta lands. If ad valorem rate of seigniorage is imposed, the 
 TSMDC rate will be the bench mark for seigniorage charges for Patta lands 
 also. 
 (xiv) The Government shall fix the rates and revise the rates of Siegniorage Fee 
 as per the situation/demand warrants. 
 (xv) Rock sand is a good alternative to natural sand. Availability of rock sand will 
 reduce the pressure on natural sand which is not found abundantly in the 
 State of Telangana. The technical viability of Rock Sand has been 
 established without doubt. In fact L&T has been using rock sand for the 
 Hyderabad Metro-Rail Project. 
 (xvi) Rock sand manufactured can be accorded industry status as long as the unit 
 manufactures 100% rock sand. Right now only 20% of the capacity is being 
 used for manufacture of Rock Sand. VAT and power subsidy can be 
 extended prospectively. Regular incentives can be given for new units. 
 (xvii) In addition, preference in quarry lease allotment will be given for units 
 manufacturing Rock Sand. Existing Stone Crushers can be accorded ancillary 
 status provided the crusher rock sand is certified by ISO/NAC/NCCMB. 
 (xvii) Government Departments shall be mandated to use at least 50% of Rock 
 Sand in Government constructions.  
 ","Regional","Telangana","Guideline","12-12-2014 18:30:00","10-10-2023 18:30:00","Government","Industries and Commerce (Mines.I) Department","10-10-2023","N/A"
"Sand Futures: Post-Growth Alternatives to Excessive Mineral Extraction in the Global South | Post Growth Institute","https://medium.com/postgrowth/sand-futures-post-growth-alternatives-to-excessive-mineral-extraction-in-the-global-south-57f0da7f14f2","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fd30ac487-3372-4e85-8a2a-ea789ecb283e.pdf?generation=1698304096239628&alt=media","Tagline: Digging into sand reveals how current development paradigms work in service to capital — and at the expense of people’s wellbeing.


This is an interview with Post Growth Fellow, Arpita Bisht, based on her paper - 'Sand futures: Post-growth alternatives for mineral aggregate consumption and distribution in the global south'


Arpita is a political ecologist specializing in conflicts related to natural resources, especially minerals. After initially focusing on bulk metals like iron ore and copper, she discovered that sand was the most conflict-prone material in India, leading her to further investigate its global significance. Arpita is an expert on sand mining, examining power dynamics in material consumption, distribution, and their societal and geopolitical impacts.


Her article, “Sand futures: Post-growth alternatives for mineral aggregate consumption and distribution in the global south,” outlines how sand extraction throughout the 21st century has led to ecological damage and violent operations, and draws connections between sand extraction and economic growth and development. We sat down with Arpita to explore why addressing the sand crisis requires systemic changes, including moving away from growth-focused models.","Talks about: 
 The use of sand in various practices  
 Why is so much sand extracted and consumed in the Global South 
 The relation between extraction, consumption, capital and inequity 
 The role of traditional architectural knowledge","India ","N/A","Analysis","20-10-2023 18:30:00","23-10-2023 18:30:00","Civil society / NGO","Post Growth Institute","26-10-2023","N/A"
"India Rivers Week 2020 - North India Sand Mining Overview | India Rivers Forum","https://indiariversforum.org/wp-content/uploads/2020/10/irw2020_northindiasandminingoverview_sandrp_oct20.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F1d92d248-06d5-4255-827a-b1aa8e31ae4e.pdf?generation=1698308661108242&alt=media","The India Rivers Week 2020 conference hosted by India Rivers Forum was conducted on the theme: ""Is sand mining killing our rivers?"". The event saw 4 region wise deliberations for North, East, West, and South India. 


This document summarises the discussions and learnings from the North Zone discussion.","The North Zone sand mining report makes rather grim reading. With such rear view, what can we look forward to? 
 Key Conclusions, Recommendations Here while some questions are raised and recommendations given in the context of specific states, they are applicable to all the states. 
 J&K The local miners, sand diggers have been mostly doing manual mining. However, now the valley is being opened for outside miners for mechanized mining operations. Should this be happening? Should we not try and understand what could be implications for local people and rivers there? Should the local people have a role in taking such decisions? 
 Punjab More than 65% of sand is being used in govt projects. Can there be rating points for infrastructure, building on the basis of quantum and source of construction material being used? The government should be able to ensure that the sand used in government buildings should not be illegally mined sand and where possible reduce the use of river sand mind and in stead use alternative sources? This is a suggestion for all the states. In fact the building ratings should be there for all kind of buildings, to reduce the use of illegally and unsustainably mined sand. 
 Uttarakhand About 70% RBM are transported outside the state. The riverine communities, river dependent people are worst affected by mining operations. But they have no say in decision making. What steps govts should take to make the processes democratic and participatory? 
 Haryana The govt is earning huge revenue from sand mining. Yet why mining departments & PCBs facing resource crisis? Why are mining approvals given for several years, when rivers keep changing course generally after every major flood? 
 Uttar Pradesh The court orders, guidelines by MoEFCC don’t get implemented. Even CBI probe is languishing for years without reaching credible outcome. Why is judiciary not being effective in changing this? Why is media not highlighting these issues as much as necessary, particularly state and national media. Why is even civil society largely silent? 
 Central, All States The auctioning processes, EIAs, apprisals & public consultation processes, monitoring & compliance are plagued by major problems. How these can be improved? 
 What could be feasible, viable and sustainable alternatives to reduce dependence on river sand? What steps are necessary to achieve optimum use of such alternavies? 
 Will creation of fish sanctuaries, No Mining Zones help address the challenges? How can the otters, gharial, dolphins, turtles can be saved from illegal mining activities? What is NMCG doing to ensure that illegal and unsustainable sand mining is stopped and it does not adversely affect Ganga and its tributaries? 
 There is very little research about river sand mining that has such far reaching impacts. Some of the research may also not be known and accessible to wider stakeholders. We certainly need more research, and all research findings must be in proactively in public domain. 
 As far as sand miners, EIA consultants, Expert Appraisal Committees at central, state and district level (where existing), geo-morphologists, geologists and geo hydrologists are concerned, there is not too much known about them, we possibly need more research & analysis about role of these various key persons and organisations and who governs them. Similarly about the real estate companies and business and how they can be partners in curbing illegal and unsustainable sand mining.","India ","N/A","Analysis","01-10-2020 18:30:00","26-10-2023 18:30:00","Civil society / NGO","India Rivers Forum","26-10-2023","N/A"
"India Rivers Week 2020 - South India Sand Mining Overview | India Rivers Forum","https://indiariversforum.org/wp-content/uploads/2020/11/irw2020_southindiasandminingoverview_finalnov6.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Ff69320ab-0708-4380-9653-6b82f1dceac7.pdf?generation=1698309282514262&alt=media","The India Rivers Week 2020 conference hosted by India Rivers Forum was conducted on the theme: ""Is sand mining killing our rivers?"". The event saw 4 region wise deliberations for North, East, West, and South India. 


This document summarises the discussions and learnings from the South Zone discussion.","The rivers that drain the highly weathered and older geological formations of South India 
 carry less sediment (~two order of magnitude less compared to the Himalayan and Indus- 
 Gangetic-Brahmaputra flood-plain rivers) and annual rates of replenishment at any stretch of a river are much lower. Decrease in rainfall since 1950s in some parts of the Western Ghats and elsewhere have also potentially reduced the sediment transport abilities of Southern rivers. A small decrease in rainfall can lead to a significant reduction in sediment load and the loss of some peak flushing flows downstream of dams can also reduce mobility of sediment. 
  
 Furthermore, sediment trapped in reservoirs behind dams has caused in reduction in 
 sediment load by up to 80% in some rivers (e.g. Kaveri). 
  
 The boom of real estate and infrastructure development in cities and towns of South India 
 post 2000 (eg Bengaluru, Hyderabad, Kochi) led to a massive demand for sand and 
 proliferation of sand mining, legal and illegal in rivers of South India. 
  
 Available evidence and knowledge suggest major ecological, socio-ecological and socio- 
 economic impacts of sand mining in this zone. There is evidence of conflict, legal challenges 
 and local mobilization against sand mining.  
  
 The increased vulnerability of river sand deposits due to low sediment production and 
 mobilization in southern rivers due to both natural and human driver as well as high 
 magnititude of impacts on river ecology, deltas and ground-water makes sand mining a major issue for policy and regulatory interventions. In the solution space the alternative reservoir management to flush sand downstream is yet to be studied for its feasibility.","India ","N/A","Analysis","06-11-2020 18:30:00","26-10-2023 18:30:00","Civil society / NGO","India Rivers Forum","26-10-2023","N/A"
"India Rivers Week 2020 - Mining Riparian Health: West Zone Regional Report | India Rivers Forum","https://indiariversforum.org/wp-content/uploads/2020/11/irw2020_westindiasandminingoverview_soppecom_v3.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fb2766322-ec69-43d6-95c6-9f84cd9068ea.pdf?generation=1698309535905976&alt=media","The India Rivers Week 2020 conference hosted by India Rivers Forum was conducted on the theme: ""Is sand mining killing our rivers?"". The event saw 4 region wise deliberations for North, East, West, and South India. 


This document summarises the discussions and learnings from the West Zone discussion.","The article touches upon: 
  
 The region and its rivers 
 Extent of Sand mining 
 Ecological impacts of sand mining 
 River Bed Sand mining and groundwater 
 Impacts on lives and livelihoods 
 Legal and institutional issues 
 Illegal mining and violence 
 Social Movements and resistances 
 Alternatives","India ","N/A","Analysis","01-11-2020 18:30:00","26-10-2023 18:30:00","Civil society / NGO","India Rivers Forum","26-10-2023","N/A"
"India Rivers Week 2020 - East Zone Sand Mining Overview | India Rivers Forum ","https://indiariversforum.org/wp-content/uploads/2020/11/irw2020_eastindiasandminingoverview_draftreport.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fd7dcd284-3150-4629-a02f-34f164e6d945.pdf?generation=1698309913211849&alt=media","The India Rivers Week 2020 conference hosted by India Rivers Forum was conducted on the theme: ""Is sand mining killing our rivers?"". The event saw 4 region wise deliberations for North, East, West, and South India. 


This document summarises the discussions and learnings from the East Zone discussion.","-","India ","N/A","Analysis","01-11-2020 18:30:00","26-10-2023 18:30:00","Civil society / NGO","India Rivers Forum","26-10-2023","N/A"
"Sand futures: Post-growth alternatives for mineral aggregate consumption and distribution in the global south | Ecological Economics","https://www.sciencedirect.com/science/article/pii/S0921800921002925?via%3Dihub","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F38e37c5f-f437-44b4-84a4-14300edf6045.pdf?generation=1698376648906844&alt=media","This article by Arpita Bisht explores how growth economics is deeply intertwined with, and has driven, both over-consumption and inequitable distribution of aggregates. The article focuses on the global South because of existing socially inefficient aggregate use, and since near-future aggregate consumption trajectories and needs, are located here.","Continuing aggregate deprivation and emerging scarcities necessitate critical re-examining of ongoing aggregate use. 
 Pertinent alternatives can be located in post-growth, post-development, steady-state economics, and degrowth literature. 
 These alternatives can improve access, decentralize production, and preserve cultural knowledges through aggregate use.","Global ","N/A","Research paper","22-09-2021 18:30:00","27-10-2023 18:30:00","Other","Ecological Economics","27-10-2023","N/A"
